,Agent_IP_Types,Agent_IP_Category
1130,116.252.240.174,335
1131,66.249.84.236,1228
1132,66.249.84.230,1227
1133,66.249.84.224,1226
1134,183.16.203.38,867
1135,222.162.182.105,985
1136,14.122.72.226,608
1137,118.180.16.125,391
1138,58.251.229.102,1164
1139,58.251.229.92,1176
1140,58.251.229.84,1174
1141,58.251.229.109,1167
1142,58.251.229.107,1166
1143,58.251.229.121,1168
1144,183.69.75.156,904
1145,58.251.229.125,1170
1146,106.91.251.142,107
1147,58.58.208.132,1183
1148,58.251.228.162,1163
1149,58.251.229.77,1173
1150,58.251.229.89,1175
1151,115.164.210.67,305
1152,111.143.196.248,137
1153,106.39.189.59,104
1154,125.39.107.208,572
1155,111.161.1.144,138
1156,111.161.1.80,140
1157,49.4.180.140,1082
1158,123.150.213.140,513
1159,58.251.229.122,1169
1160,58.251.229.133,1172
1161,58.251.229.132,1171
1162,221.172.208.141,967
1163,183.32.202.138,888
1164,123.150.213.204,514
1165,111.161.1.25,139
1166,58.251.229.99,1177
1167,175.30.106.59,791
1168,122.143.4.76,487
1169,117.151.62.174,373
1170,110.87.228.90,128
1171,123.165.110.56,537
1172,223.104.27.122,1010
1173,58.251.229.105,1165
1174,110.90.252.135,132
1175,220.202.128.35,961
1176,42.62.74.31,1072
1177,211.140.18.122,925
1178,111.51.37.107,171
1179,123.67.89.178,545
1180,111.122.45.166,135
1181,117.10.153.27,339
1182,49.223.96.227,1081
1183,171.12.222.104,762
1184,223.211.224.85,1021
1185,112.4.2.10,182
1186,113.142.18.121,234
1187,124.118.102.236,554
1188,110.184.204.37,116
1189,221.204.185.17,973
1190,175.140.89.251,771
1191,101.224.78.169,16
1192,223.150.32.148,1018
1193,180.156.112.250,834
1194,116.227.48.22,328
1195,50.81.13.200,1088
1196,114.81.255.40,291
1197,114.81.255.37,290
1198,218.102.185.20,935
1199,49.77.168.214,1086
1200,120.195.3.117,454
1201,58.33.173.184,1178
1202,115.210.243.121,311
1203,175.51.99.152,793
1204,211.97.128.177,934
1205,1.95.86.186,12
1206,101.226.125.120,22
1207,113.140.3.174,228
1208,125.68.68.54,584
1209,58.19.57.111,1091
1210,180.89.6.45,843
1211,119.39.70.229,444
1212,211.103.89.81,916
1213,124.77.21.247,564
1214,117.149.108.68,371
1215,223.96.150.38,1033
1216,223.64.60.25,1023
1217,110.177.17.162,113
1218,110.83.76.173,124
1219,114.81.254.162,288
1220,125.39.208.232,575
1221,101.85.185.15,65
1222,113.241.125.186,243
1223,218.241.190.177,939
1224,182.108.40.63,847
1225,218.204.3.64,938
1226,42.196.115.116,1066
1227,211.136.115.81,917
1228,182.131.10.29,854
1229,114.242.250.72,282
1230,113.47.187.245,247
